id,address,priority,estimated_time
job_001,"1500 Market St, Philadelphia, PA 19102","high",25
job_002,"433 Chestnut St, Philadelphia, PA 19106","medium",30
job_003,"2000 Walnut St, Philadelphia, PA 19103","low",20
job_004,"1000 Spruce St, Philadelphia, PA 19107","high",35
job_005,"1200 Locust St, Philadelphia, PA 19107","medium",25
job_006,"800 Pine St, Philadelphia, PA 19107","low",15
job_007,"1000 Lombard St, Philadelphia, PA 19147","high",40
job_008,"600 South St, Philadelphia, PA 19147","medium",30
job_009,"800 Bainbridge St, Philadelphia, PA 19147","low",20
job_010,"1200 Christian St, Philadelphia, PA 19147","high",35
job_011,"1000 Washington Ave, Philadelphia, PA 19147","medium",25
job_012,"1500 Passyunk Ave, Philadelphia, PA 19145","low",15
job_013,"2000 Snyder Ave, Philadelphia, PA 19145","high",30
job_014,"2500 Oregon Ave, Philadelphia, PA 19145","medium",20
job_015,"3000 Moyamensing Ave, Philadelphia, PA 19148","low",25
job_016,"1000 5th St, Philadelphia, PA 19106","high",35
job_017,"1200 6th St, Philadelphia, PA 19106","medium",30
job_018,"1400 7th St, Philadelphia, PA 19106","low",20
job_019,"1600 8th St, Philadelphia, PA 19106","high",40
job_020,"1800 9th St, Philadelphia, PA 19106","medium",25
job_021,"2000 10th St, Philadelphia, PA 19106","low",15
job_022,"2200 11th St, Philadelphia, PA 19106","high",30
job_023,"2400 12th St, Philadelphia, PA 19106","medium",25
job_024,"2600 13th St, Philadelphia, PA 19106","low",20
job_025,"2800 14th St, Philadelphia, PA 19106","high",35
job_026,"3000 15th St, Philadelphia, PA 19106","medium",30
job_027,"3200 16th St, Philadelphia, PA 19106","low",25
job_028,"3400 17th St, Philadelphia, PA 19106","high",40
job_029,"3600 18th St, Philadelphia, PA 19106","medium",20
job_030,"3800 19th St, Philadelphia, PA 19106","low",15
job_031,"4000 20th St, Philadelphia, PA 19106","high",35
job_032,"4200 21st St, Philadelphia, PA 19106","medium",30
job_033,"4400 22nd St, Philadelphia, PA 19106","low",25
job_034,"4600 23rd St, Philadelphia, PA 19106","high",40
job_035,"4800 24th St, Philadelphia, PA 19106","medium",20
job_036,"5000 25th St, Philadelphia, PA 19106","low",15
job_037,"5200 26th St, Philadelphia, PA 19106","high",30
job_038,"5400 27th St, Philadelphia, PA 19106","medium",25
job_039,"5600 28th St, Philadelphia, PA 19106","low",20
job_040,"5800 29th St, Philadelphia, PA 19106","high",35
job_041,"6000 30th St, Philadelphia, PA 19106","medium",30
job_042,"6200 31st St, Philadelphia, PA 19106","low",25
job_043,"6400 32nd St, Philadelphia, PA 19106","high",40
job_044,"6600 33rd St, Philadelphia, PA 19106","medium",20
job_045,"6800 34th St, Philadelphia, PA 19106","low",15
job_046,"7000 35th St, Philadelphia, PA 19106","high",35
job_047,"7200 36th St, Philadelphia, PA 19106","medium",30
job_048,"7400 37th St, Philadelphia, PA 19106","low",25
job_049,"7600 38th St, Philadelphia, PA 19106","high",40
job_050,"7800 39th St, Philadelphia, PA 19106","medium",20 